,Text,Class
184,markroundtreejr lmfaoooo hate black peopl  there black peopl nigger,OFF
185,  gabrielastarr could u bitch potent,OFF
186,  piss lad past would lick dirti sole slept,NOT
187,  love frat boy w soft long sole,NOT
188,  sexi lad hot sole arch,NOT
189,megamindnick whitethunduh nah fam gotta cheat hoe depend femal feel,OFF
190,meshanoja vontethekidd  got hick lol,NOT
191,migsmichelen new twitter confus shit go back south america bitch,OFF
192, toto mean ass vaginai think pussi caus toto santi like nasti pussi,OFF
193,mikelahenri actual choos ugli bitch  ass must fat,OFF
194,mileycyrus bitch couldnt kill vibe ya tri  dis love miley ,OFF
195,montrel im tire bitch say look mean  nigga big af wear tight shirt grim everybodi,OFF
196,motherjon  bird grandkid may never see thank climat chang   climat,NOT
197,mvckfadden stay beauti bitch,OFF
198,nickiminaj wutkindar purpl ceeeleeeman gurl jus playin stupid hoe  track still shit sum gurl,OFF
199,nastycopp money get taller bitch get blurri,OFF
200,newsomejad aint never seen bitch obsess  im obsess mine ,OFF
201, kobe stay talk trash let forget   meant one smh,OFF
202,nochillpaz least im nigger lmfao,OFF
203,nofakingg peopl alway ask im mix bad asian bitch lol,OFF
204, whiteponyjr ariza snake coward least isnt crippl like hero roach lmaoo,OFF
205,osayitaintso  foster home imaginari  whoa chillthat show everyth tf,NOT
206,officialreplay lowkey tire tire quiet go sleep hoe,OFF
207,prayingforhead  stop bring weird nigger mention  ,OFF
208,prettybossbrat dont love hoe ,OFF
209,patrickquelo yo girl cant homeboy ol weak bitch ass nigga,OFF
210,  think worst advic gave  dont pussi speed lol,OFF
211,poemsporn quot tweet favorit animalpussi,OFF
212,poeticsuccess hate stripper tell theyr dancer hoe ballet dancer dont pop pussi beethoven stripper,OFF
213,poffalici andrewbry poff doubl vision  beerspoff  doubl pussi  smh,OFF
214,poobi bitch twerk computerm ya  ya damn ,OFF
215,prodsjewel   peacepunkprinc princ art  nobodi takin bitch,OFF
216,  welfaregovern aid claim white peopl yall black slander trash,NOT
217, bitch dont care play role,OFF
218,queenkaaat took find hide lime treeiemonaid dis bitch da wrong tree bro,OFF
219,rtnba drake new shoe releas nikejordan yes there glitter shoe  dude fag,OFF
220,rachiesoul dizzleoffici inna di ghetto alon lmaoo,NOT
221,ramboutit   ramboutit hoe  teach us austini teach u get curv that know,NOT
222,reachtheeclimax bitch cant cook know suck dick  one,OFF
223,renegademo fat hoe get chose lol,OFF
224,riahsm hoesaintloy well theyr hoesno one expect loyal,OFF
225,rishaawilliam treshonscroog nevertrustt ol bitch ass ,OFF
226,rnadjorel bruh im tire nigga retweetin miley cyrus nake bitch aint type bad lmaooo,OFF
227,sactownprodigi toni romo mav game dont mean still bitch lmao fuk cowgirl lol bitch fuck,OFF
228,samjlayman  holi shit freddi highmor charli chocol factorym roll floor laugh,OFF
229,samirahus dont want sex gf feel like im use  anonym whata faggot,OFF
230,sexualgxf  one follow    somebodi bitch dont,OFF
231,shaajenkin ya bitch alway bitch clear care annoy bitch,OFF
232,shantaughth catfish hoe thinkin slick nigga catch ,OFF
233,shewenttojordan cant worri bitch aint worri bout real,OFF
234,showarr side hoe insecur nigga cant handl real one,OFF
235,shunstok   lmao bitch come scoot tent like fuck shit ,OFF
236,shunstok cousin said share hoe brother said share care love brother ,OFF
237,slimgirlprobz im hungri ionn wanna spend money  hoe problem ,OFF
238,smeegbabi dese hoe lyin us nigga,OFF
239,snakecharmsdump  oh yeah fuck bitch,OFF
240,sportscent eli man threw nfllead  intercept season lmao trash,NOT
241,sportscent usc senior rb anthoni brown call head coach steve sarkisian racist quit team   hes bitch,NOT
242,stellatex guess also zero time mansplain adio stfu pussi,OFF
243,stephenwildboy chill   sexi scalli lad,NOT
244,strap aint share bitch mine mine ,OFF
245,sukmysweet money impress simpl broke bitch,OFF
246,sylvieamx pisc never anybodi bitch dont let peopl control chang rigghhht,OFF
247,teejonez  kingcuh tuku ho idk blah blah blah ,NOT
248,teejonez kingcuh  im mad cuh hahaha suur tuku ho ita ,NOT
249,tayknosbest hoe crazi,OFF
250,taylorrbabe aint ever gonna slice bitch kevin hart ,OFF
251,thatniggatroy oomf fuckin fine tho  dam  dont bitch,OFF
252,thegamerkingkev wonder girl gave head  boy drink magaluf twitter probli send nude fag,OFF
253,thenewsat newsatquestionsyeah bitch yeah bitch call maybeb steveoc laterd jess pinkmanmachinegunkelli,OFF
254,thenymphotweet hicki thigh right pussi gtgtgt right,OFF
255,theonemissluu would still love im longer young beauti ugli monkey ass,OFF
256, jetsandaswish gook yall come frontbitch aint come,OFF
257, jetsandaswish faggot bitch ,OFF
258,therealistsam  yea im ipad dont work friday let ball faggot tropicalblanketi work ,OFF
259,  scalli lad would get,NOT
260,theomaxximus gerryshalloweenparti  halloween yesterday stupid nigger,OFF
261,theomaxximus chrus still supahot tho walk teacher test drop test bitch fohead ,OFF
262,  love eat pussi lol never get full  eat shit forev lol ever,OFF
263,tmaccgfg  tmaccgfg  slush  nasti anyway  hoe tast like ,OFF
264,tmaccgfg  slush  nasti anyway ,OFF
265,tmaccgfg bobbi bitchbi  get live fuck hell yea play hoe workout,OFF
266,trelekidd yo bitch gucci mane rt jabarithegreat  bitch stoner  ,OFF
267,tweetgamelazi ride bitch handl bar,OFF
268,tyjoncuffe aint hoe get traphoussseeee,OFF
269,uberfact  sad tv charact death still bitter   stark man,NOT
270,unholyjack harbor bitch parti bus hoe lol,OFF
271,  pussi love,OFF
272,veronikahumbert ultraviol video come littl bitch mtvhottest lana del rey  bitchi promo,OFF
273,vineforthebyrd way fuck bitch lmfao kittycopt,OFF
274,wbur smuggler explain help fighter along jihadi highway ,NOT
275,wbeezi quathegreat aww avi look cute togeth    gotta get ike avi bitch ,OFF
276,wbeezi rundrc simpl dont hoedont worri expos  fight mewhi ,OFF
277,wannabekany whys bitch boost size isnt exact healthi tho,OFF
278,withaprettyfac  bet bitch   kim bye,OFF
279,xxpdotjdot damn near gotta protect tweet stalker annoy got dope dick drive bitch loco,OFF
280,xojennygirl im make marack girlfriend  marackaf aye b pullin hoe like taught,OFF
281,xoxoangie bruno fag boy love,OFF
282,yehitsvon  must   sike naw alway beef ,OFF
283,yanke  yanke look ralli bottom  rallycap,NOT
284,youngricooo  dont take advantag nice  hoe everyjuan,OFF
285,youngricooo happi birthday bitch nigga  thank pal,OFF
286,youngricooo sad know hoe wont fuck bc aint got stack wait till friday,OFF
287,yungmigo  cinco shit harder fucc niggaye fucc wit rich homi cuz dat ya homeboy fucc nicca,OFF
288,  ewww said last sundaya last sunday read ,OFF
289,badab punch real nigga face caus pussi nigga gonna punch right back strong mush shake,OFF
290,beedontcar pussi still fresh lt someth stank girl say,OFF
291,geewillik ass slap one greatest thing haha  slap girl ass  got mad aint get pussi week,OFF
292,tommycollin wearerichnow buffalobil yeah texan much better fuck retard see your mad,OFF
293,malibubarbi nd wtf dark bitch blond pleas sever seat hoe look like blackampmild,OFF
294,sugga there lane bitch need stay  left n get right fuck outta face ,OFF
295,sneakyb hate boy deni bitch  smh,OFF
296,taradis ya nig still say yall dont eat butt straight face,OFF
297,yourewelcom im boss ass bitch need sit corner,OFF
298,iwantfranni hes hoe  cant,OFF
299, paul thinkin bout gettin rental da weekend  shit bitch betta stay da street,OFF
300,rapdream bitch hold nigga get lock nigga go colleg militari differ stori ,OFF
301,simplycaitlin friend hate ratchet hoe,OFF
302,adriwadrri love fuck nigga hoe,OFF
303, hot meat  sexi fuck scalli lad would love meet trainer,OFF
304, sniff  perv scalli lad fuck yeah,OFF
305, bitch love sosa,OFF
306,alexissixela  legit watch   second  wtf prob caus retard smh,OFF
307,allisonnamaya name cat idea mr pussi,OFF
308,  woof woof sexi thug boy scalli,OFF
309,ambitiousbre  u see damn phone ring  marri bitch make demand havent call,OFF
310,analicialouis tevin favorit sophomor think hes funni hes realli lmaoo hes littl hoe,OFF
311,angelenagoley  sex posit   u call fuck soul outta bitch ,OFF
312,ashlingwild itsnotadam bore suppos cute faggot sometim,OFF
313,ayyeecee one man trash  anoth man treasur ,NOT
314,babineaux dont got type bad bitch thing like iongotnotyp,OFF
315,bigbootybishopp whitethunduh lassen cc  coach want feel youll get nig doubt,OFF
316,bleedingtrap god teeth  gold chainwhit bitch  cocain,OFF
317,cheetahbluntz hoe  shhhhh,OFF
318,chieflottaho dc call roller chiraq call thot across america known hoe,OFF
319, im gonna miss bitch bus driverno wont dont lie,OFF
320, hate bitch tri put friendzon bitch im tryin score put endzon  soul,OFF
321,complexuk ashley young tri deni bird land mouth gt   hahaha,NOT
322,datfullerkid trevaughnlg yall gimp aint tht bitch huh lol,OFF
323,deepthroatmik boyssouth take ride   woof woof,NOT
324,demieggleton oh god love victoria mitchel bitch love,OFF
325,djsliim long distanc shit wack knew bitch cheat uh oh,OFF
326,fiirt hes right   bitch smh,OFF
327, ban dat pussi life amp gotta pay  millon dollar fine,OFF
328,fuckcamoclark rose red violet blue nigger black know that true ,OFF
329, sit window sill window open bird tri fli smack protecttheanim peta,NOT
330,glowstruck nigga gon nigga nigga sound fuckin retard,OFF
331,greggutfeld video entir media like mock  crybabi,NOT
332,gurlimangi itskiaraaaa westyourmajesti im even shi stfu kiki mom hi angeliqu angeliqu smile dip cracker soup,OFF
333,haitiangold tim tebow got cut everi team nfl alreadi got hoe starkvill smh ,OFF
334,hazelebabi karma bitch damn godprotectshisangel  tea,OFF
335,hornyjhb fuckin hot gym pussi  fuck yeah,OFF
336,hxhassan jihadi patron hajjaj alajmi arrest kuwait airport ,NOT
337,iampickuplin call fireman caus turn hoe,OFF
338,icrawley could never bbi lil dick thts got abort last bitch oh god,OFF
339,idntwearcondom watch women tri argu like dick actual fuck pussi hate bitch,OFF
340,ilgdaili smoke weed public fuck cop man wanna dont run come retard,OFF
341,itrapwatermelon tweeti bird tho ,NOT
342,irlfatti pussi sweet like watermelon thotermelon,OFF
343,itscoleharmon twitter rapper dm trash link ,NOT
344,jsadass loud bitch annoy,OFF
345,jacaxeltlu eventu everi bitch turn hoe  truuu,OFF
346,jaimescudi tonybthrz jaimescudi swear oomf tri talk tomorrow  barackobama pussi,OFF
347,jamajam bitch pretend tf crazi aint never lie,OFF
348,jasmyncynique whitethunduh k bye hoe um bye ,OFF
349,jayswaggkillah jacki retard blondeproblem least make grill chees,OFF
350, ima keep give pussi ass nigga ah reason hate ,OFF
351,jethromass photo  sole heaven,NOT
352,jgabsss stacey dash   baddest bitch evaaaa,OFF
353,juicyyyjayyyi side bitch sunday  ,OFF
354, fact baldhead bitch made shit  lmao ,OFF
355,kayreneee fuck wit us tweakin hoe shmurda,OFF
356,kazooook actin like  day wesgodlaflar ,NOT
357,kikistfu ill break lil bitch neck wont even feel sorri savag,OFF
358,leikant fuck hot scalli sneakersex sockfetish sniff trainersex  love kinki scalli,OFF
359,likemicah yall dumb ass nigga press hoe yall weak fuck fuck weed hoe oreo,OFF
360,lildurk turn yo bitch eaterrrrrrrrr,OFF
361,lildurk dont trust dese hoe nikki told  stay fan screen shot asap finna come chiraq shoot sumn,OFF
362,marackaf  aye yall ima tryout bowl team  tryout pass tho there two retard,OFF
363, u got u want bitch  enjoy  crazi parti would love attend,OFF
364,metroadlib color contact eyesblind minecaus cant see lmao,NOT
365,michellewestt fact poonsoak dude hoe say dont got  ,OFF
366,midywidey im rea start smack bitch period  bluffin best,OFF
367,molssyo life bitch die that get high caus neva know your gonna go sister perfect ,OFF
368,molssyo one us drug your still wrong  currieburri hahahahahahah im bitch sometim ,OFF
369,morgandayle im feel pretti fuckin ghetto smh,OFF
370,   dejaaleeann  swear im  man easili easili behind austin nip,NOT
371,obeyjrock true ride die bitch   fuck hahahahah,OFF
372,oldpicsarch hgwell charli chaplin  histori photographi,NOT
373,ortizjaylen see bruno bitch ass twitter wtf bruno see drake voic,OFF
374,ozziegarza whitethunduh im cool faggot chill tf cool nigga,OFF
375,ozziegarza whitethunduh im sure bitch frfr tf,OFF
376,poppunksuck twitter sourc news broadcast fuck retard nbc abc cnn fox etc keep quiet,OFF
377,queendulaaa got coupl bitch say know  let money talk  im like wwyd,OFF
378,realfort grudg weirdosand bitch,OFF
379,rhythmixx told mariam cigarett birthdayyou also call trash rn,NOT
380,riananewman  browni tonight kind,NOT
381, text back dont give fuck ill text anoth bitch damn someon hurt lol,OFF
382,ronaldiongi ummmmmm okay  got hoe left right  yah thang,OFF
383,royalswagg use ymxb find slope ass,OFF
384,rugbysocklad fit lad nice gear  scalli lad n trainer would get,NOT
385,rugbysocklad hell yeah bro  fuck yeah sexi scalli lad hot gear,OFF
386,rugbysocklad help mate  love scalli play fuck yeah,OFF
387,rugbysocklad lad lad  fuck yeah love scalli lad action hot trainer,OFF
388,savagetwoton next year bitch gonna like gotta promis wont expos ,OFF
389,scallynikelad  hot rt opcinjen lick bitch  fuck yeah eat trainer u dirti fucker,OFF
390,sierrabernia  yall think celebr pussi differ local  yeah meghan good,OFF
391,sleepyyongguk saw ajumma walk begin say wow trash cant even listen  lmaoo,NOT
392,sniffsockslad need sox  fuck yeah love kinki scalli lad w rank sox sneak,OFF
393, dont ever expos femal like that childish bitch nigga shiiii,OFF
394,socass  socass yassstri new thing bestfriendbitch love,OFF
395,socass dude rememb wop video   omg find,NOT
396,soxandjox thick raw fuck  damn man pussi get workout,OFF
397,soxdawg rawr rt skinrubberboi sexi french scalli love frenchscal  sexi scalli woof woof,NOT
398,splurgb nothin life free bitch need write ya ,OFF
399,stephencdo currieburri one bitch want burrito u catch potosino huh haha,OFF
400,talibanshawtyy nigga whole hoe cuz couldnt said ,OFF
401,theaveragerock hardcor way eat mac  boil water  snort chees  drink boil water  fuck bitch,OFF
402,thebravebird yourenotmytyp fade perpetu fresher that real ass bitch rite,OFF
403,thejudyann annoy bitch love  judyann pretti,OFF
404,thotmouth lmao bitch got huggi,OFF
405,trestiff hi bitch bitchby bitch ,OFF
406,trutherbot look like bitch elcapacitor,OFF
407,whoiscoreyk chase money   hoe  ,OFF
408,whooligan cant stand dont know want ass nigga  bitch,OFF
409,wiganzlad markycrumb gmailshort im way  love chavhot sexi scalli fucker,OFF
410,witmyrudeass newli gay bitch dont kno shit work,OFF
411,witmyrudeass bitch dont want real job becom stripper lol lol,OFF
412, awww meat meat feelinsi ainn n feel bitch,OFF
413, want snake bite  industri piercin amp tattoodem hoe accessori dea ,OFF
414,worldtravei babi albino   ,NOT
415,worldwarze hoe aint loyal,OFF
416,xoxoclauudia yassssss order chines  bitch ate taco fat fuck,OFF
417, made bitch lunch elizabethbatman bitch love lunch,OFF
418,brainerbut soon bitch get rich polit power view changepolit whore ,OFF
419,pussi day keep devil away doperthanyola,OFF
420,aint bitch mean,OFF
421,bitch want babi dont want children,OFF
422,bitch must lost ,OFF
423,babi like left side bitch cant cuz street side twitter said aint real,OFF
424,bae sound like ghetto word use someth els,NOT
425,batter wee cunt jewi cos fuck ex emma isnt batter girl ive nailed move onstop pussi n urself,OFF
426,bleed hoe alexa,OFF
427,boolin bando wit bitch,OFF
428,browni browni love movi ,NOT
429,need bad bitch that hotter might realist shit partynextdoor ever said that feelin everyday,OFF
430,way punch bitch,OFF
431,caesar home rt naewoodst   much bitch look like let start ape ,OFF
432,chines maverick communic comrad  u know give imperialist yank birdi ,NOT
433,dad say hi snapchat dad  duce bitch ,OFF
434,believ hoe fact loyal disagre believ fact loyalest bunchthes hoe,OFF
435,dont know ugli bitch dont know broke niggaskeving,OFF
436,dont make make fall live nigga like meee bird  favorit song weeknd,OFF
437,dont worri nigga see worri nigga dont see dat da nigga fuckin yo bitch,OFF
438,dont ever give pussi away keep tight alright,OFF
439,drop stack caus bitch im  song call dopedownload mixtap ,OFF
440,dumb bitch dumb thing,OFF
441,eat pussi like real nigga hungri,OFF
442,eff let go crippl ,OFF
443,everyth look better bitch next,OFF
444,facto shaunasayomi care hoe ass look like ,OFF
445,everi bad bitch nigga tire fuck,OFF
446,foreign chick lie man bitch beauti,OFF
447,fresh nigga kno need clean bitch kno im work cuz wanna see team rich ,OFF
448,fuck  make rule suck dragon ball bitch call goku,OFF
449,generat ascii box nodej see abil bring flappybird node via ascii tube bird  ,NOT
450,get shit bitch fine bear,OFF
451,get ass back detroit ya fuckin wigger,OFF
452,girl date okay aint mad yo unless stab heart love hoe,OFF
453,know twitter password bitch pleas,OFF
454,seen show seen hoe wasnt hot would thick,OFF
455,bitch hit hoe ,OFF
456,marri white woman lucki sumbitch  uncl ruckus,OFF
457,wanna nigga im trinna save account   omg imma funni ass bitch man that real shit ,OFF
458,great grandma hoeher grandma hoeher mom hoe shes hoe long line hoe grandpa carl everyon,OFF
459,hey go look video man found kidnap girl ohiowhat nigger  shitmybosssay,OFF
460,hey pussi still,OFF
461,draft gungho folk send afghanistan war zone show ,NOT
462,hotter bitch,OFF
463,u talk hoe bout bro n em talk hoe bout bro n em,OFF
464,crazi bitch hilari,OFF
465,know shoe dirti fuck whatev bitch dont calllik negro one first thing look shoe dog,OFF
466,thrill billywith hillbilli heart billyraycyrus hahahahaha jesus murphi,NOT
467,call bitch makennam,OFF
468,cant handl liquor bitch cant handl meeedd  chief sosa,OFF
